Blockchain,Date,Type,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Polygon,16-12-22,Stablecoins,65541,20526,55624134.05,848.6921781,33.42306673
Solana,16-12-22,Native Coin,29997,3066,3809272.816,126.9884594,13.14489002
Solana,16-12-22,Other Tokens,20232,1988,2561831.819,126.4602537,14.10889333
Solana,16-12-22,Stablecoins,100237,3448,16403872.65,163.6443436,1.132298265
THORChain,16-12-22,Native Coin,16258,396,13068066.54,792.1960802,421.2163869
THORChain,16-12-22,Other Tokens,12426,333,10182807.23,819.4758757,428.9682494
THORChain,16-12-22,Stablecoins,5956,85,3923721.354,658.7846464,436.8213589
Algorand,17-12-22,Native Coin,5022,701,655113.4253,130.4487107,3.606191128
Algorand,17-12-22,Other Tokens,6816,491,152905.4233,22.07383042,2.18147437
Algorand,17-12-22,Stablecoins,5270,230,743178.0127,138.6784872,7.054969801
Arbitrum,17-12-22,Native Coin,33448,12856,19960494.11,596.7619622,2.828382647
Arbitrum,17-12-22,Other Tokens,7438,3769,2254293.737,303.0779426,0.056860978
Arbitrum,17-12-22,Stablecoins,20003,8139,18215259.77,910.6263944,50.78636742
Avalanche,17-12-22,Native Coin,10917,4045,3042840.086,278.7249323,30.91511168
Avalanche,17-12-22,Other Tokens,936,426,575109.9774,614.4337366,142.9836389
Avalanche,17-12-22,Stablecoins,5956,2362,7283976.326,1222.96446,103.0935948
BSC,17-12-22,Native Coin,261351,77478,88287025.47,337.810169,46.41013641
BSC,17-12-22,Other Tokens,11791,4870,11792914.42,1000.162363,103.1813893
BSC,17-12-22,Stablecoins,237302,95928,147718432.7,622.4913095,55.36044997
Ethereum,17-12-22,Native Coin,27820,425,283017179.5,9681.09665,516.715
Ethereum,17-12-22,Other Tokens,29246,509,137718811.7,4375.081379,380.9494356
Ethereum,17-12-22,Stablecoins,14110,367,477482509.2,30467.23515,940.83
Flow,17-12-22,Native Coin,193,78,62711.57953,318.332891,49.29358364
Flow,17-12-22,Other Tokens,44,12,4936.043227,112.1828006,55.40288772
Flow,17-12-22,Stablecoins,266,105,92393.45179,254.5274154,41.98304284
Gnosis,17-12-22,Other Tokens,1751,301,88691.21539,50.65175065,2.391092714
Gnosis,17-12-22,Stablecoins,219,66,11626.54959,53.08926753,0.994992708
NEAR,17-12-22,Native Coin,816,162,273499.1693,332.3197682,42.54578577
NEAR,17-12-22,Other Tokens,615,68,1698064.054,2612.406237,5.539931911
NEAR,17-12-22,Stablecoins,685,132,687454.3437,833.2779923,32.66209587
Optimism,17-12-22,Native Coin,11384,6828,4710432.87,413.7766049,47.89772014
Optimism,17-12-22,Other Tokens,5056,2457,3634872.733,718.9226134,8.279911301
Optimism,17-12-22,Stablecoins,34615,11873,41440362.4,1197.179327,23.60147657
Osmosis,17-12-22,Native Coin,3962,1182,503185.9682,126.9069277,7.439347125
Osmosis,17-12-22,Other Tokens,7507,3059,1790338.05,238.4891501,12.03861361
Osmosis,17-12-22,Stablecoins,2800,788,954680.2422,340.9572294,54.391719
Polygon,17-12-22,Other Tokens,26448,10163,13479316.65,509.6535335,9.360257389
Polygon,17-12-22,Stablecoins,54502,17591,29183952.57,535.4657182,21.31868122
Solana,17-12-22,Native Coin,21258,2640,2883696.389,135.6522904,12.23399887
Solana,17-12-22,Other Tokens,16944,1782,2074767.002,122.3473878,13.25620901
Solana,17-12-22,Stablecoins,76412,2575,5997704.664,78.48960483,1.001820193
THORChain,17-12-22,Native Coin,14749,425,9401246.13,627.9218628,402.290687
THORChain,17-12-22,Other Tokens,11248,362,7712407.759,685.6692531,400.3614053
THORChain,17-12-22,Stablecoins,4353,72,2288627.992,525.7587852,402.1161896
Algorand,18-12-22,Native Coin,3092,580,247810.253,80.14561869,2.880412048
Algorand,18-12-22,Other Tokens,4495,408,68659.09362,15.0667311,2.585912712
Algorand,18-12-22,Stablecoins,3330,141,376280.8626,111.5898169,9.345076091
Arbitrum,18-12-22,Native Coin,34693,11932,17927561.31,516.7486614,0.118224162
Arbitrum,18-12-22,Other Tokens,17389,13807,2414790.653,138.8688627,0.063417499
Arbitrum,18-12-22,Stablecoins,23617,10927,15746535.11,666.745781,1.994957874
Avalanche,18-12-22,Native Coin,7591,3242,1454638.483,191.6267268,25.13441977
Avalanche,18-12-22,Other Tokens,824,381,396312.1953,480.961402,96.33060969
Avalanche,18-12-22,Stablecoins,5603,2733,6395533.681,1141.448096,43.92514151
BSC,18-12-22,Native Coin,225824,67659,58790933.16,260.3396147,33.47859656
BSC,18-12-22,Other Tokens,6300,3182,4660535.968,739.767614,38.44264096
BSC,18-12-22,Stablecoins,214823,84731,65181028.84,303.4173661,49.16099017
Ethereum,18-12-22,Native Coin,21509,358,140723481.9,6252.709583,500.9985312
Ethereum,18-12-22,Other Tokens,21223,455,103346953.8,4518.887354,362.0310799
Ethereum,18-12-22,Stablecoins,11068,292,223996709.7,18671.06024,859.99
Flow,18-12-22,Native Coin,94,66,20091.78512,207.1318053,47.33430325
Flow,18-12-22,Other Tokens,35,10,2941.514249,84.04326426,64.35510366
Flow,18-12-22,Stablecoins,162,76,41900.2083,225.2699371,55.61684415
Gnosis,18-12-22,Other Tokens,1099,237,85363.72438,77.67399852,2.234540275
